Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Sexe
GALIVEL ET ASSOCIÉS,Société de conseil,GALIVEL,Carol,Gérante,FNAIM - BARNES - ERA - KNIGHT FRANK Collectivités locales - CERENISIMO - SILIC UBS - GLOBAL REAL ESTATE - CAFPI HERMITAGE ASSET MANAGEMENT,F
GART (GROUPEMENT DES AUTORITES RESPONSABLES DE TRANSPORT),Association,KESTEL,Laurent,Directeur,"Groupement des autorités organisatrices de transport (GART), association regroupant 277 AOT et oeuvrant en faveur de la promotion et du développement du transport public en France",H
GEMME,Organisation professionnelle,BOURRIENNE-BAUTISTA,Catherine,Déléguée générale rattachée au Comité directeur,"GEMME (Association représentative de l'industrie des médicaments génériques, ville, hôpital, biosimilaires)",F
GIXEL,Organisation professionnelle,LE GOFF,Yves,Délégué général,"Gemalto, Inside Secure, Imprimerie nationale, Oberthur technologies, Sagem Morpho, STMIcroelectronics SPS, Thales Secure Systems",H
GROUPAMA SA,Entreprise privée,MICHELET,Béatrice,Responsable de missions Affaires publiques,"Fédération nationale Groupama (Association, organisation professionnelle de la Mutualité agricole) Groupama SA (Assurances mutuelles agricoles) Fédération française des sociétés d'assurance mutuelles (Présidence de la FFSAM assurée par le Directeur général de Groupama. Secrétariat général placé sous la responsabilité du Secrétaire général de Groupama)",F
GROUPE CARREFOUR,Entreprise privée,RICHARD DE LATOUR,Jean,"Directeur des études, de l'innovation et des Affaires publique Groupe",Groupe Carrefour,H
GROUPE CASINO,Entreprise privée,RISAC,Claude,Directeur des relations extérieures/Holding direction générale,Groupe Casino,H
GROUPE DE PARIS,Société de conseil,FERNIOT,Michèle,Consultante parlementaire et politique,"L'ALLIANCE DES OFFICIERS PUBLICS (Notaires, avoués, huissiers, courtiers en marchandises assermentés)",F
GROUPE LA POSTE,Organisme public,BONNEFON,Joëlle,Déléguée aux relations parlementaires - rattaché au conseiller du Président en charge des affaires territoriales et du service public,Groupe LA POSTE,F
GROUPE LA POSTE,Organisme public,VALL,Elisa,"Cabinet du président, déléguée aux relations institutionnelles",Groupe LA POSTE,F
GROUPE PROSECURE SARL,Société de conseil,ANDRE,Stanislas,Directeur général,GROUPE PROSECURE - Syndicat SYNAMAME - Association Impis - Association Entrepreneurielles - Collectif Acteur du Bâtiment durable,H
GROUPE QUALITEL,Association,SULLEROT,Lisa,"Responsable des relations institutionnelles, direction déléguée",Groupe QUALITEL (et ses organismes certificateurs CERQUAL et CERQUAL patrimoine),F
GROUPE RENAULT,Entreprise privée,HARCOURT (D'),Louise,Directeur des affaires parlementaires et politiques,groupe Renault,F
GROUPEMENT DES ENTREPRISES MUTUELLES D'ASSURANCE,Organisation professionnelle,IRISSON,Nathalie,Responsable Communication,"Syndicat professionnel des assureurs mutualistes suivants et de leurs filiales : groupe AGPM Assurances, Altima Assurances, AMDM, AMF Mutuelle, Assurances Banque Populaire IARD, Ethias Droit commun, Groupe GMF, groupe IMA, groupe MAAF, Groupe MACIF, Groupe MAE, Groupe MAIF, MAPA, groupe MATMUT, MFA, groupe Monceau Assurances, MISPM, Natixis Assurances, SMACL Assurances, le Sou Médical, USU, GCE Assurances IARD",F
HACHETTE LIVRE,Entreprise privée,DARCOS,Laure,Direction générale - Directrice des Relations institutionnelles auprès du Président,HACHETTE LIVRE,F
HADOPI,Organisme public,SCAPPATICCI,Marion,"Direction de la communication et des relations extérieures, chargée des relations avec les élus","HADOPIE, Haute autorité pour la diffusion des oeuvres et la protection des droits sur Internet, Autorité publique indépendante",F
HUMANIS,Entreprise privée,LEFEBVRE,Jean-Paul,Directeur adjoint des relations extérieures - secrétariat général,Groupe humanis,H
IFPEB,Association,BOREL,Cédric,Directeur général,Institut français pour la performance énergétique du bâtiment (IFPEB),H
INSERM,Organisme public,BENEDETTI,Arnaud,Directeur de l'information scientifique et de la communication Responsable de la communication Aviesan 'Alliance pour les sciences de la vie et de la santé),Ceux de l'Institut National de la Santé et de la Recherche Médicale (INSERM) Etablissement public à caractère scientifique et technologique placé sous la double tutelle du ministère de la santé et du ministère de la recherche Seul organisme de recherche en France entièrement dédié à la santé humaine,H
INSTITUT NATIONAL DE PRÉVENTION ET D'ÉDUCATION À LA SANTÉ (INPES),Organisme public,BACHELOT,Pierre,chargé des relations institutionnelles à la direction générale,Institut national de prévention et d'éducation à la santé (INPES),H
INSTITUT POUR LA JUSTICE,Association,GIUGLARIS,Alexandre,Délégué général,Institut pour la justice,H
INTERBEV,Interprofession,COLLI,Marine,"Chargée des relations avec le Parlement, service enjeux publics nationaux et communautaires, rattaché à la Direction générale",INTERBEV (Association nationale interprofessionnelle du bétail et des viandes),F
INTEREL FRANCE,Société de conseil,LUNEAU,Aristide,Directeur,"FFTB (Fédération française des tuiles et briques), Promotoit, eCORP, IFP-EN, Cresus, Soitec",H
JEUNES AGRICULTEURS,Organisation professionnelle,RIVAILLER,Régis,Conseiller parlementaire (rattaché à la direction générale),Jeunes agricultuers,H
KEOLIS,Entreprise privée,LIEURE,Anne-Florence,Directeur des relations institutionnelles rattachée à la présidence du groupe KEOLIS,KEOLIS,F
L'ALLIANCE 7,Organisation professionnelle,TARRAUD,Héloïse,Directeur des relations extérieures (Directions relations extérieures et communication),"Syndicat de la confiserie, syndicat du chocolat, syndicat des fabricants de biscuits et gâteaux ; syndicat des céréales du petit-déjeuner, syndicat de la panification croustillante et moëlleuse ; syndicat du café ; syndicat des inidustries alimentaires diverses ; syndicat des miels ; syndicat de la diététique et des compléments alimentaires ; syndicat de l'alimentation de l'enfance et de la nutrition clinique",F
LAFARGE CIMENTS,Entreprise privée,GUILLEN,Alain,"Directeur affaires publiques France, rattaché au directeur général Lafarge ciments et directeur développement durable et affaires publiques Lafarge (groupe)",LAFARGE CIMENTS LAFARGE BETONS GRANULATS LAFARGE PLATRES,H
LE REFUGE,Association,AUTIN,Bruno,Direction de la communication,Association nationale Le Refuge,H
LEEM,Organisation professionnelle,CARROLL,Muriel,"Directeur Affaires publiques, rattachée au Directeur général",LEEM (les entreprises du médicament),F
LES PETITS PORTEURS DE VIVENDI,Association,JOVICIC,Grégoire,Président de l'association,Association les petits porteurs de Vivendi,H
LIGUE NATIONALE CONTRE LE CANCER,Association,LUCAS,Yannick,Directeur général,Ligue nationale contre le cancer,H
LIGUE ROC,Association,AUBEL,Christophe,Directeur,"Ligue Roc, association agréée au titre de la protection de la nature, et reconnue d'utilité publique",H
LOBBSONN,Société de conseil,BOUTEILLER,Samuel,Directeur associé,Chambre nationale des Huissiers de Justice Caisse nationale d'assurance vieillesse des professions libérales ,H
LOBBYING ET STRATEGIES,Société de conseil,COSTE,Thierry,Fondateur et directeur,"Fédération Nationale des Chasseurs, Syndicat National des Vétérinaires d'exercice libéral, Fédération Nationale de la Pêche ",H
MAIF,Entreprise privée,TISSERAND,Stéphane,Responsable des relations institutionnelles (direction de la communication institutionnelle),MAIF (Mutuelle d'Assurance des Instituteurs de France),H
MBDA FRANCE,Entreprise privée,CHOLLET,Patricia,Chargée des relations avec le Parlement auprès de la direction générale,MBDA,F
MEDEF,Organisation professionnelle,RESSOT,Guillaume,Directeur des affaires publiques,80 branches professionnelles 148 unions patronales territorialisées 750 000 entreprises,H
OFFICES DE TOURISME DE FRANCE - FÉDÉRATION NATIONALE,Association,BERTOLUCCI,Yannick,Chargé de mission administration et relations institutionnelles (Présidence),Offices de tourisme et syndicats d'initiative de France,H
ORDRE DES AVOCATS DU BARREAU DE PARIS,Etablissement d'intérêt public,CUSINBERCHE,Régis,"Avocat, conseiller parlementaire auprès du Bâtonnier de l'Ordre des avocats de Paris",Ordre des avocats de Paris,H
ORGANISATION DES TRANSPORTEURS ROUTIERS EUROPÉENS,Organisation professionnelle,MATHELIÉ-GUINLET,Gilles,"Secrétaire général, rattaché à la présidence","Organisation des transporteurs routiers européens, organisation professionnelle française de transport routier",H
PARIS-HABITAT OPH,Organisme public,TOULON,Jean-Christophe,Directeur Adjoint de Cabinet,PARIS-HABITAT OPH,H
PHILIPPE GODFRAIN CONSEIL SARL,Société de conseil,GODFRAIN ,Philippe,Directeur général,Fédération des chambres syndicales de l'industrie du verre,H
PHILIPS FRANCE,Entreprise privée,CEVASCO,Christophe,"Directeur des affaires publiques et du développement, membre du COMEX (rattaché à la présidence de Philips France)",PHILIPS France et ses filiales,H
POWEO,Entreprise privée,DROGUERE,Christophe,Directeur des affaires publiques rattaché à la Présidence,POWEO,H
PPR,Entreprise privée,DE SAINT-SERNIN,Frédéric,"Directeur des relations institutionnelles, rattaché à la présidence","Groupe PPR : Gucci Group, Redcats, Conforama, Fnac, CFAU, Puma",H
PRICEMINISTER SAS,Entreprise privée,TABAKA,Benoît,Directeur des affaires juridiques et réglementaires,PRICEMINISTER SAS - VOYAGER MOINS CHER SAS - TMG MEDIA GROUPE SAS - RAKUTEN Inc - RAKUTEN Europe - LINKSHARE (Rakuten Group) - BUY.COM (Rakuten Group) - Association des Services Internet Communautaires (ASIC),H
PRODISS,Organisation professionnelle,SEGUINEAU,Malika,Responsable juridique (direction juridique du PRODISS),"PRODISS : Syndicat national des producteurs, diffuseurs et salles de spectacle musicale et de variété",F
PROFRANCE,Association,SEMELLE,Jacques-Henri,Secrétaire général,"Union française des industries de l'habillement (UFIH) Chambre professionnelle de la porcelaine, poterie, faïence (CPPPF) Fédération française de la chaussure (FFC) Groupement des industriels et fabricants de l'optique GIFO) Carton ondulé de France (COF) Centre national d'innovation et de formation des prothésistes dentaires (CNIFPD)",H
PUBLICIS CONSULTANTS FRANCE,Société de conseil,MARTIN,Benjamin,Directeur conseil adjoint - départemet affaires publiques,Value retail Huawei technologie IKEA,H
RADIO FRANCE,Organisme public,RAVACHE,Bérénice,Déléguée aux relations institutionnelles (Direction Générale),Radio France,F
RATP,Organisme public,MAZILLE,Laurent,Secrétaire Général de la RATP DEV,"RATP et ses filiales : RATP Dev, Logistranports, Xelis, Systra, Metrobus, Promometro, Telcité",H
RELIANS CONSULTING,Société de conseil,DUPEYRAT,Pascal,Consultant affaires publiques,"Audible Magic, Paris Capitale Mondiale de la Beauté, Solaris, Pierre Letang Avocat",H
RESEAU FERRE DE FRANCE,Organisme public,DU BOURG,Marie-Reine,"Responsable des relations parlementaires, relations extérieures de la communication",Réseau ferré de France,F
SAS GROUPE G,Entreprise privée,GUYON,Fabrice,Consultant politique aux affaires sociales,SAS Groupe G SAS Indigène Anapurna Consulting American Pole Consulting,H
SAUR,Entreprise privée,PARIS,Didier,"Directeur à la direction générale du groupe SAUR, en charge des affaires publiques",Groupe SAUR,H
SEANCE PUBLIQUE SAS,Société de conseil,GOURAULT,Anne,Directrice conseil,"Confédération générale des betteraviers Chambre nationale de l'ordre des architectes (CNOA) ; Union nationale des syndicats de l'immobilier (UNIS) ; GIE Cartes bancaires CB ; Syndicat national des établissements et résidences privés pour les personnes âgées (SYNERPA) ; Centre d'étude et de documentation du sucre (CEDUS) ; Fedene, IGN, IRSN, Janssen, PSA, Fédération des agents généraux d'assurance, La Poste, Syntec Ingéniérie, CEA, CNAVPL, UNEDIC, Vermillon",F
SEITA - GROUPE IMPERIAL TOBACCO FRANCE,Entreprise privée,SENSI,Eric,Directeur des affaires corporate,SEITA - GROUPE IMPERIAL TOBACCO (Fabrication - Commercialisation de produits du tabac),H
SFIC,Organisation professionnelle,CHARLET,Philippe,Secrétaire général,"Les producteurs de ciment en France et de chaux, LAFARGE, CALCIA, HOLCIM, VICAT, KERNEOS",H
SNCF,Organisme public,GROSSETETE,Karine,"Conseillère parlementaire, rattachée au Secrétariat Général",SNCF,F
SNVEL,Organisation professionnelle,DAUMAS,Anne,Directrice Générale,Syndicat national des vétérinaires d'exercice libéral (SNVEL),F
SOCIETE DE BANQUE ET D'EXPANSION,Entreprise privée,GENTILI,Cathy,Directrice des relations institutionnelles rattachée à la Présidence,S.B.E. - Société de Banque et d'Expansion,F
SOCIÉTÉ FRANÇAISE DU RADIOTÉLÉPHONE,Entreprise privée,TALVAS,Vincent,"Directeur des affaires publiques, rattaché au secrétaire général",Société française du Radiotéléphone (SFR),H
SOCIÉTÉ SOLVAY,Entreprise privée,JACQUET,Arnaud,Directeur des affaires publiques - Direction générale,Société SOLVAY,H
SOLOCAL GROUP,Entreprise privée,LE BLANC,Christophe,Directeur des relations institutionnelles (rattachement : Direction générale),Solocal group et ses filiales en France et à l'étranger,H
SOS HOMOPHOBIE,Association,RONZIER ,Elisabeth,Présidente,SOS homophobie,F
STATKRAFT FRANCE SAS,Entreprise privée,SOETAERT,Emmanuel,,Statkraft France Plaine de l'Ain Power,H
SYNABIO,Organisation professionnelle,LEPERS,Cécile,Déléguée générale,Synabio - syndicat des entreprises biologiques,F
SYNALAM,Organisation professionnelle,ALOSI,Jean-Philippe,Délégué général du Synalam,ADS LORRAINE/Air médical Santé/Air Products healthcare/AIR SANTE/Alliance médicale service/Alternative Amma/ASDIA EST/Bastide le confort médical/Bordo2 médical/Buirette/CALEA/ Centre matériel paramédical/CREMIEUX/Dans's médical et transport/DIADOM/Dinno santé/DOMICILIA SANTE/EQUIPMEDICAL/MARINA/France Oxygene/France SANTE/FSK/GIPHARMAD Médical service/Handi-Pharm/Home air/HOMEPERF/HOSPIDOM/HUMANAIR MEDIAL/HSE/IPS/LINDE MEDICAL DOMICILE/LVL/MAT MEDIC/Matériel PARAMEDICAL/MBAR/MEDIC CENTRE/Medical service/Medicapool/MERLIIN/Mediloc/PARAPHARM 85/Mediservice +/Nestlé Homecare/PER U LOR/PERRON TORTAY/ORKYN/Présence médicale/Proxymed/RESPI'Santé/SANETIS/SANTEPLUS/SEPRODOM/SAS SERVICE/STUDIO SANTE/SUD PERFUSION/VITALAIRE/VIVISOL,H
SYNAPSES,Organisation professionnelle,LADONNE,Luc,Président directeur général,"Syndicat national des activités liées aux animaux domestiques et non domestiques, aux végétaux d'ornement, à l'environnement et au cadre de vie (professionnels de la filière des animaux de compagnie, des commerçants et artisans fleuristes).",H
SYNDICAT DE L'INDUSTRIE DES TECHNOLOGIES DE L'INFORMATION,Organisation professionnelle,DEMERLE,Maxence,Déléguée générale adjointe,Syndicat de l'industrie des technologies de l'information ,F
SYNDICAT DE LA JURIDICTION ADMINISTRATIVE,Organisation professionnelle,COSTA,Elsa,Présidente,"Syndicat de la Juridiction administrative (SJA), syndicat majoritaire des juges administratifs, lequel a pour objet, en application de l'article 3 de ses statuts, de défendre les intérêts matériels et moraux des membres du corps des tribunaux administratifs et cours administratives d'appel",F
SYNDICAT NATIONAL DE L'ACHAT D'OR ET DE BIJOUX,Organisation professionnelle,DE BOUTSELIS,Jean-Pierre,Président,Syndicat national de l'achat d'or et de bijoux,H
SYNDICAT NATIONAL DE L'INDUSTRIE DES TECHNOLOGIES MÉDICALES,Organisation professionnelle,MOULINES,François-Régis,"Directeur des affaires publiques, juridiques et de la communication",Syndicat national de l'Industrie des technologies médicales (SNITEM),H
SYNDICAT NATIONAL DES MONITEURS DU SKI FRANÇAIS,Organisation professionnelle,CHABERT,Gilles,Président du syndicat national des moniteurs du ski français,Syndicat national des moniteurs du ski français,H
SYNOPE,Organisation professionnelle,ROMEAS,Christian,Président,SYNOPE Syndicat des opticiens sous enseigne,H
TDIE,Association,SALAUN,Marie-Dominique,Déléguée générale,TDIE transport développement intermodalité environnement ,F
THALES,Entreprise privée,CAPUTO,Isabelle,Directeur des relations parlementaires et politiques - direction de la stratégie,THALES,F
THOMAS LEGRAIN CONSEIL,Société de conseil,LEGRAIN,Thomas,Associé Gérant,Union francilienne des centres de gestion et associations agréés (UFCA) Conseil supérieur de l'ordre des experts-comptables Union des industries de la fertilisation Association des femmes diplômées d'expertise comptable administrateurs Fédération des femmes administrateurs Club secteur public des experts-comptables Fondation greffe de vie,H
TOPTIMIZ,Entreprise privée,TAZE,Olivier,Direction de la communication,"Syndicat professionnel hôtelier, plagiste, restaurateur",H
TOTAL S.A.,Entreprise privée,TRIBOT LASPIERE,François,"Secrétaire général, relations institutionnelles, adjoint au directeur affaires publiques France et ONGs",TOTAL S.A.,H
TRANSPARENCE-INTERNATIONAL (FRANCE),Association,YUNG,Marina,Chargée d'études juridiques,Transparence-international (France) ,F
UFSBD,Association,DARTEVELLE,Sophie,Présidente,UFSBD (Union Française pour la Santé Bucco-dentaire) Association loi 1901 - Centre Collaborateur OMS,F
UNI VDL,Organisation professionnelle,FEUILLET,François,Président,UNI VDL,H
UNICEM,Organisation professionnelle,TARNOT,Maud,Chargée des relations institutionnelles auprès de la direction générale,UNICEM - Union nationale des industries de carrières et matériaux de construction UNED - Union nationale des exploitants du déchet,F
UNIFA,Organisation professionnelle,DE LONGCAMP,Pierre-Henri,Chargé de communication et affaires publiques,UNIFA - Union des industries de la fertilisation,H
UNIMEV,Organisation professionnelle,ROSY,Matthieu,Directeur général,UNIMEV (Union française des métiers de l'événement),H
UNION DES ANNONCEURS (UDA),Organisation professionnelle,CHANON,Anne,"Directrice des relations institutions et société, rattachée à la direction générale",Union des anonceurs (UDA),F
UNION DES FAMILLES EN EUROPE,Association,MARCILHACY,Dominique,Porte parole,Union des familles en Europe,F
UNION DES INDUSTRIES DE LA PROTECTION DES PLANTES,Organisation professionnelle,BOCQUET,Jean-Charles,"Directeur général, rattaché au Président)",Entreprises du secteur de la protection des plantes,H
UNION DU GRAND COMMERCE DE CENTRE VILLE,Organisation professionnelle,BOULLE,Claude,Président exécutif,UNION DU GRAND COMMERCE DE CENTRE VILLE (UCV),H
UNION FRANCAISE DES ORTHOPROTHESISTES UFOP,Organisation professionnelle,FOURNY,Philippe,Secrétaire général,Union Française des Orthoprothésistes (UFOP),H
UNION FRANÇAISE DES INDUSTRIES PÉTROLIÈRES,Organisation professionnelle,AGEORGES,Bruno,Directeur des relations institutionnelles,Union française des industries pétrolières (UFIP),H
UNION FRANÇAISE DES INDUSTRIES PÉTROLIÈRES,Organisation professionnelle,CHAVANE,Christian,Directeur des relations institutionnelles,Union française des industries pétrolières (UFIP),H
UNIOPSS,Organisation professionnelle,MAIRE,Ronald,conseiller technique : organisation territoriales - politiques sanitaires et sociales,UNIOPSS (union nationale interfédérale des oeuvres et organismes privés sanitaires et sociaux),H
UPA,Organisation professionnelle,DUC,Caroline,Chargée des relations avec le Parlemenet,"UPA (Union professionnelle artisanale) qui regroupe : CGAD (alimentation de bétail), CAPEB (Bâtiment), CNAMS (métiers de service)",F
USEM,Union de mutuelles,CHKROUN,Benjamin,Délégué général,"USEM : Union nationale des mutuelles étudiantes régionales (MEP, SMENO, SMEREP, MGEC, SMEBA, SMERAG, SEM)",H
VAE SOLIS CORPORATE,Société de conseil,SEEMAN,Jérémy,consultant sénior,"UMIH (Union des métiers et des industries de l'hôtellerie) Numericable, Enerplan, TAJ, AACC (syndicat des agences conseils en communication), FESP, Bouygues immobilier",H
VAINCRE L'AUTISME,Association,SAJIDI,M'Hammed,Président,"VAINCRE L'AUTISME, association Loi 1901",H
VATTENFALL,Organisme public,COUCHARRIERE,Dorothée,Directeur affaires publiques et communication attaché à la présidence,Société Vattenfall,F
VEOLIA ENVIRONNEMENT,Entreprise privée,SUART-FIORAVANTE,Marie-Thérèse,"Directeur des relations institutionnelles, rattaché à la direction générale","VEOLIA environnement et ses divisions : VEOLIA eau, VEOLIA Propreté, VEOLIA Transport et DALKIA/VEOLIA Energie",F
WEBER SHANDWICK FRANCE - CMGRP FRANCE SAS,Société de conseil,LENOIR,Lorraine,"Diretrice Conseil en charge des Affaires publiques - Pôle Corporate, crise, affaires publiques",CGI (Confédération Française du Commerce interentreprises) UNCGFL (Union nationale des grossistes en fruits et légumes) FNICGV (Fédération nationale des intermédiaires des commerces de gros en viande) Wrigley's La Poste FNCPLA (Fédération nationale du commerce des produits laitiers et agricoles),F
